GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
DataHubAutomationCore,com.WebPagesDhd,WrappersPage,167,0,0,0,36,0,10,0,10,0
DataHubAutomationCore,com.WebPagesDhd,GlobalSettingPage,35,0,0,0,7,0,2,0,2,0
DataHubAutomationCore,com.WebPagesDhd,PayCodeMappingPage,57,0,0,0,12,0,5,0,5,0
DataHubAutomationCore,com.WebPagesDhd,PipelineAssignmentPage,116,0,0,0,25,0,6,0,6,0
DataHubAutomationCore,com.WebPagesDhd,AddTenantPage,328,0,0,0,66,0,13,0,13,0
DataHubAutomationCore,com.WebPagesDhd,HomePage,270,0,0,0,49,0,13,0,13,0
DataHubAutomationCore,com.WebPagesDhd,LoginPage,116,0,0,0,22,0,6,0,6,0
DataHubAutomationCore,com.WebPagesDhd,TenantConfigurationPage,207,0,0,0,37,0,10,0,10,0
DataHubAutomationCore,com.WebPagesDhd,MasterPage,56,0,0,0,12,0,3,0,3,0
DataHubAutomationCore,com.WebPagesDhd,LocationTypeMappingPage,57,0,0,0,12,0,5,0,5,0
DataHubAutomationCore,com.alm.apitest,BaseAlmAPITest,466,0,42,0,97,0,34,0,13,0
DataHubAutomationCore,com.alm.apitest,TestUIALMCount,164,0,12,0,39,0,10,0,4,0
DataHubAutomationCore,com.alm.apitest,TestPlanTestCaseCount,278,0,6,0,53,0,8,0,5,0
DataHubAutomationCore,com.alm.apitest,TestPlanTestCaseCountRegression,278,0,6,0,53,0,8,0,5,0
DataHubAutomationCore,com.alm.apitest,TestAPIALMCount,170,0,12,0,39,0,10,0,4,0
DataHubAutomationCore,com.alm.apitest,GetJsonOfALMPath,189,0,12,0,46,0,10,0,4,0
DataHubAutomationCore,com.FunctionalUtils,GenDBUtilities,82,0,2,0,12,0,4,0,3,0
DataHubAutomationCore,com.FunctionalUtils,DHDEndUserHelper,1189,0,6,0,152,0,36,0,33,0
DataHubAutomationCore,com.FunctionalUtils,DHDTenantHelper,1253,0,0,0,137,0,11,0,11,0
DataHubAutomationCore,com.FunctionalUtils,DHSSTenantHelper,2433,0,22,0,279,0,41,0,30,0
DataHubAutomationCore,com.FunctionalUtils,DHSSEndUserHelper,847,0,0,0,145,0,34,0,34,0
DataHubAutomationCore,com.alm.apiobject,AlmAPIObject,1158,0,38,0,133,0,37,0,18,0
DataHubAutomationCore,com.alm.apiobject,ALMException,4,0,0,0,2,0,1,0,1,0
DataHubAutomationCore,com.alm.apiobject,BaseAlmApiObject,3,0,0,0,1,0,1,0,1,0
DataHubAutomationCore,com.WebPagesDhss,SampleAngularPage,45,0,0,0,12,0,2,0,2,0
DataHubAutomationCore,com.WebPagesDhss,DhssLoginPage,249,0,0,0,32,0,5,0,5,0
DataHubAutomationCore,com.WebPagesDhss,TenantRegistrationPage,401,0,2,0,75,0,13,0,12,0
DataHubAutomationCore,com.WebPagesDhss,SeedHomePage,271,0,0,0,57,0,12,0,12,0
DataHubAutomationCore,com.WebPagesDhss,TMSAdminAdditionalProperties,380,0,0,0,58,0,21,0,21,0
DataHubAutomationCore,com.WebPagesDhss,AdditionalPropertiesPage,59,0,0,0,14,0,5,0,5,0
DataHubAutomationCore,com.WebPagesDhss,TenantListPage,167,0,0,0,31,0,9,0,9,0
DataHubAutomationCore,com.Utilities,ApiRequestHelper,3,0,0,0,1,0,1,0,1,0
DataHubAutomationCore,com.Utilities,PropertyReader,80,0,2,0,17,0,5,0,4,0
DataHubAutomationCore,com.Utilities,ConfigParser,56,0,2,0,17,0,3,0,2,0
DataHubAutomationCore,com.Utilities,Log,19,0,0,0,7,0,5,0,5,0
DataHubAutomationCore,com.Utilities,TestStatus,35,0,0,0,15,0,9,0,9,0
DataHubAutomationCore,com.Utilities,DataLoader,200,0,0,0,62,0,27,0,27,0
DataHubAutomationCore,com.Utilities,WebLauncher,20,0,0,0,6,0,3,0,3,0
DataHubAutomationCore,com.Utilities,NgUtilities,21,0,0,0,5,0,2,0,2,0
DataHubAutomationCore,com.Utilities,JsonSchemaReader,77,0,4,0,18,0,4,0,2,0
DataHubAutomationCore,com.Utilities,GcpHelper,1264,0,42,0,288,0,46,0,25,0
DataHubAutomationCore,com.Utilities,ResultSender,24,0,0,0,9,0,3,0,3,0
DataHubAutomationCore,com.Utilities,AccessTokenType,24,0,0,0,3,0,1,0,1,0
DataHubAutomationCore,com.Utilities,DataPool,306,0,2,0,87,0,43,0,42,0
DataHubAutomationCore,com.Utilities,WebDriverFactory,202,0,12,0,35,0,12,0,6,0
DataHubAutomationCore,com.Utilities,SeleniumHelper,527,0,18,0,148,0,40,0,31,0
DataHubAutomationCore,com.Utilities,testmain,27,0,0,0,9,0,2,0,2,0
DataHubAutomationCore,com.Utilities,CommonUtils,34,0,2,0,15,0,4,0,3,0
DataHubAutomationCore,com.Utilities,BitBucketConnectHelper,222,0,2,0,43,0,4,0,3,0
DataHubAutomationCore,com.Utilities,PostgresDBHelper,435,0,22,0,82,0,17,0,6,0
DataHubAutomationCore,com.Utilities,SuiteInitializer,9,0,0,0,3,0,1,0,1,0
DataHubAutomationCore,com.Utilities,Helper,601,0,52,0,132,0,45,0,19,0
DataHubAutomationCore,com.Utilities,anupam,7,0,0,0,3,0,2,0,2,0
DataHubAutomationCore,com.Utilities,GcpHelper.new ApiFutureCallback() {...},42,0,2,0,8,0,4,0,3,0
DataHubAutomationCore,com.env.constants,ResourcesPaths,184,0,0,0,19,0,1,0,1,0
DataHubAutomationCore,com.env.constants,GlobalConstants,124,0,0,0,34,0,2,0,2,0
DataHubAutomationCore,com.alm.utils,ALMConstant.CookiesParameter,59,0,0,0,9,0,3,0,3,0
DataHubAutomationCore,com.alm.utils,ALMConstant.TestSetFolder,48,0,0,0,8,0,3,0,3,0
DataHubAutomationCore,com.alm.utils,ALMConstant.HeadlineDomainMapping,213,0,4,0,14,0,7,0,5,0
DataHubAutomationCore,com.alm.utils,ALMConstant.headline,345,0,0,0,35,0,3,0,3,0
DataHubAutomationCore,com.alm.utils,ALMConstant.getAPIJobLinks,406,0,4,0,41,0,7,0,5,0
DataHubAutomationCore,com.alm.utils,ALMConstant,3,0,0,0,1,0,1,0,1,0
DataHubAutomationCore,com.alm.utils,CommonParameters,3,0,0,0,1,0,1,0,1,0
DataHubAutomationCore,com.alm.utils,Utils,90,0,6,0,14,0,8,0,5,0
DataHubAutomationCore,com.alm.utils,ALMConstant.TestPlanFolderRegression,383,0,4,0,39,0,7,0,5,0
DataHubAutomationCore,com.alm.utils,ALMConstant.TestType,59,0,0,0,9,0,3,0,3,0
DataHubAutomationCore,com.alm.utils,ALMConstant.TestPlanFolder,311,0,4,0,33,0,7,0,5,0
DataHubAutomationCore,com.alm.utils,ALMConstant.getUIJobLinks,394,0,4,0,40,0,7,0,5,0
DataHubAutomationCore,com.alm.utils,ExcelUtility,1127,0,50,0,296,0,40,0,15,0
DataHubAutomationCore,com.alm.utils,TestPlanExcelUtility,751,0,14,0,196,0,16,0,9,0
DataHubAutomationCore,com.DataObjects.DhssDataObject,AlertCatSubCatListDTO,24,0,0,0,10,0,7,0,7,0
DataHubAutomationCore,com.DataObjects.DhssDataObject,RecentJobStatusDTO,38,0,0,0,7,0,11,0,11,0
DataHubAutomationCore,com.DataObjects.DhssDataObject,EndUserlogindto,45,0,0,0,19,0,13,0,13,0
DataHubAutomationCore,com.DataObjects.DhssDataObject,PayCodeMappingDHSSDTO.PaycodeMapping,101,0,0,0,16,0,29,0,29,0
DataHubAutomationCore,com.DataObjects.DhssDataObject,AlertDHSSDTO,38,0,0,0,16,0,11,0,11,0
DataHubAutomationCore,com.DataObjects.DhssDataObject,DeleteEmailSubscriptionDTO,30,0,0,0,13,0,7,0,7,0
DataHubAutomationCore,com.DataObjects.DhssDataObject,StartWrapperDTO,38,0,0,0,16,0,11,0,11,0
DataHubAutomationCore,com.DataObjects.DhssDataObject,UpdatePipelineSettingsDHDDTO,73,0,0,0,30,0,15,0,15,0
DataHubAutomationCore,com.DataObjects.DhssDataObject,LocationTypeMappingsDTO.LocationTypeMapping,45,0,0,0,8,0,13,0,13,0
DataHubAutomationCore,com.DataObjects.DhssDataObject,AlertSubDTO,66,0,0,0,28,0,19,0,19,0
DataHubAutomationCore,com.DataObjects.DhssDataObject,PayCodeMappingDHSSDTO,61,0,0,0,9,0,15,0,15,0
DataHubAutomationCore,com.DataObjects.DhssDataObject,AlertEmailSubscriptionDHSSDTO,45,0,0,0,18,0,13,0,13,0
DataHubAutomationCore,com.DataObjects.DhssDataObject,AuditInformation,32,0,0,0,11,0,6,0,6,0
DataHubAutomationCore,com.DataObjects.DhssDataObject,ViewAlertsDHSSDTO,38,0,0,0,16,0,11,0,11,0
DataHubAutomationCore,com.DataObjects.DhssDataObject,RecentJobStatusDTO.RecentJobStatus,52,0,0,0,9,0,15,0,15,0
DataHubAutomationCore,com.DataObjects.DhssDataObject,CreateEmailSubscriptionDHDDTO,100,0,0,0,41,0,21,0,21,0
DataHubAutomationCore,com.DataObjects.DhssDataObject,ViewWrapperHistorySummaryDTO,52,0,0,0,22,0,15,0,15,0
DataHubAutomationCore,com.DataObjects.DhssDataObject,PipelineSettingsDTO,38,0,0,0,16,0,11,0,11,0
DataHubAutomationCore,com.DataObjects.DhssDataObject,UpdatePipelineSettingsDTO,73,0,0,0,30,0,15,0,15,0
DataHubAutomationCore,com.DataObjects.DhssDataObject,StopWrapperDTO,38,0,0,0,16,0,11,0,11,0
DataHubAutomationCore,com.DataObjects.DhssDataObject,Adminlogindto,38,0,0,0,16,0,11,0,11,0
DataHubAutomationCore,com.DataObjects.DhssDataObject,SummaryPipelineHistoryDHDDto.Pipelinehistorysummary,59,0,0,0,10,0,17,0,17,0
DataHubAutomationCore,com.DataObjects.DhssDataObject,ViewWrapperAndPipelineHistoryDTO,38,0,0,0,16,0,11,0,11,0
DataHubAutomationCore,com.DataObjects.DhssDataObject,TenantPipelineSettingsDTO,52,0,0,0,22,0,15,0,15,0
DataHubAutomationCore,com.DataObjects.DhssDataObject,AdditionalPropertDto,116,0,0,0,48,0,24,0,24,0
DataHubAutomationCore,com.DataObjects.DhssDataObject,CreateEmailSubscriptionDTO,100,0,0,0,41,0,21,0,21,0
DataHubAutomationCore,com.DataObjects.DhssDataObject,AlertDetailsDTO,73,0,0,0,31,0,21,0,21,0
DataHubAutomationCore,com.DataObjects.DhssDataObject,CustomDriverMappingsDTO.customDriverMappings,38,0,0,0,7,0,11,0,11,0
DataHubAutomationCore,com.DataObjects.DhssDataObject,DhssTenantInfoDto,248,0,0,0,106,0,71,0,71,0
DataHubAutomationCore,com.DataObjects.DhssDataObject,JobstatusDTO,66,0,0,0,28,0,19,0,19,0
DataHubAutomationCore,com.DataObjects.DhssDataObject,CustomDriverMappingsDTO.customDriverMappingsAssignmentList,17,0,0,0,4,0,5,0,5,0
DataHubAutomationCore,com.DataObjects.DhssDataObject,DhssPaycodeMappingsDTO,101,0,0,0,43,0,29,0,29,0
DataHubAutomationCore,com.DataObjects.DhssDataObject,LocationTypeMappingsDTO.LocationTypeMappingsAssignmentList,17,0,0,0,4,0,5,0,5,0
DataHubAutomationCore,com.DataObjects.DhssDataObject,SummaryWrapperHistoryDHDDto.Wrapperhistorysummary,52,0,0,0,9,0,15,0,15,0
DataHubAutomationCore,com.DataObjects.DhssDataObject,ServiceKeyFileResponsedto,24,0,0,0,10,0,7,0,7,0
DataHubAutomationCore,com.DataObjects.DhssDataObject,SummaryWrapperHistoryDHDDto,34,0,0,0,6,0,9,0,9,0
DataHubAutomationCore,com.DataObjects.DhssDataObject,CustomDriverMappingsDTO,52,0,0,0,9,0,15,0,15,0
DataHubAutomationCore,com.DataObjects.DhssDataObject,WrapperHistorySummaryDTO,31,0,0,0,13,0,9,0,9,0
DataHubAutomationCore,com.DataObjects.DhssDataObject,SummaryPipelineHistoryDHDDto,34,0,0,0,6,0,9,0,9,0
DataHubAutomationCore,com.DataObjects.DhssDataObject,PipelineHistorySummaryDTO,31,0,0,0,13,0,9,0,9,0
DataHubAutomationCore,com.DataObjects.DhssDataObject,RecentJobStatusDTO.RJDateDeserializer,23,0,2,0,8,0,4,0,3,0
DataHubAutomationCore,com.DataObjects.DhssDataObject,Seedlogindto,45,0,0,0,19,0,13,0,13,0
